Table Contents:
+-----+---------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------+------------+
| ID  | SpeciesName                     | Description                                                                                                                                                                                                                                                       | Photo                                                                                                                          | Bird       |
| 166 | Elm Leaf Beetle                 | The Elm leaf beetle is a common pest that feeds on elm tree leaves, causing defoliation. It is a significant concern for tree health in Lubbock.                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/3/3f/Elm_leaf_beetle.jpg                                                        | 0x00       |
| 168 | Brunner's Mantis                | Brunner's Mantis is a small, brown, stick-like insect that reproduces parthenogenetically, meaning all individuals are female.                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/4/4f/Brunneria_borealis.jpg                                                     | 0x00       |
| 170 | Northern Sharp Stink Bug        | A predatory stink bug, the Northern sharp stink bug feeds on other insects and can be found in various habitats across Lubbock.                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/5/5e/Tylospilus_acutissimus.jpg                                                 | 0x00       |
| 172 | Lubbock Gold Tarantula          | The Lubbock Gold Tarantula is a species native to the area, known for its burrowing behavior and distinctive gold coloring.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/6/6f/Aphonopelma_hollyi.jpg                                                     | 0x00       |
| 174 | Wheel Bug                       | The Wheel Bug is an assassin bug known for its cog-like structure on its thorax. It is a beneficial predator, feeding on pest insects in gardens and crops.                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/7/7f/Wheel_bug.jpg                                                              | 0x00       |
| 176 | Cicada Killer Wasp              | Cicada killer wasps prey on cicadas, paralyzing them to serve as living food for their larvae. Despite their size, they are not aggressive toward humans.                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/8/8e/Cicada_killer_wasp.jpg                                                     | 0x00       |
| 182 | Western Pygmy Blue              | A tiny native butterfly (one of the smallest in North America) found in open areas around Lubbock; adults visit flower nectar and the species thrives on local saltbush and desert plants.                                                                        | https://upload.wikimedia.org/wikipedia/commons/1/12/Western_pygmy_blue_butterfly_(33155661945).jpg                             | 0x00       |
| 184 | Gray Hairstreak                 | A small gray butterfly common in Lubbock fields and gardens; highly adaptable with many host plants, it acts as a minor pollinator while adults feed on various flower nectars.                                                                                   | https://upload.wikimedia.org/wikipedia/commons/0/0b/Gray_Hairstreak_(22812238906).jpg                                          | 0x00       |
| 186 | Variegated Fritillary           | A widespread orange-brown butterfly seen in open fields around Lubbock; its caterpillars feed on passionflower and viola, and adults fly throughout much of the year visiting flowers.                                                                            | https://upload.wikimedia.org/wikipedia/commons/8/84/Variegated_fritillary_(72934).jpg                                          | 0x00       |
| 188 | Dainty Sulphur                  | A very small yellow butterfly abundant in Lubbock, especially in disturbed areas; it breeds on asters and shows seasonal color variation, often seen fluttering close to the ground.                                                                              | https://upload.wikimedia.org/wikipedia/commons/8/86/Dainty_sulphur_(19893709744).jpg                                           | 0x00       |
| 190 | Checkered White                 | A white butterfly commonly found on Lubbock?s roadsides and vacant lots; related to the cabbage butterfly, it feeds on mustards and alfalfa, and can occasionally be a minor crop pest.                                                                           | https://upload.wikimedia.org/wikipedia/commons/f/fe/Male_Checkered_White,_Megan_McCarty124.jpg                                 | 0x00       |
| 192 | Blue Dasher                     | A common dragonfly around Lubbock?s ponds and playa lakes; males have a bright blue abdomen, and this species helps control mosquitoes and other flying insects as an agile predator.                                                                             | https://upload.wikimedia.org/wikipedia/commons/e/e2/Blue_dasher_dragonfly_-_52104375125.jpg                                    | 0x00       |
| 194 | Variegated Meadowhawk           | A migratory dragonfly often seen in Lubbock?s fields and gardens, especially in late summer; it has colorful mottled markings and preys on pest insects like flies and midges.                                                                                    | https://upload.wikimedia.org/wikipedia/commons/c/ce/Sympetrum_corruptum.jpg                                                    | 0x00       |
| 196 | Common Whitetail                | A stout dragonfly frequently observed near water in Lubbock; males have a broad white tail, and the species is known to perch on logs or rocks while hunting mosquitoes and gnats.                                                                                | https://upload.wikimedia.org/wikipedia/commons/5/5c/Plathemis_lydia.jpg                                                        | 0x00       |
| 198 | American Rubyspot               | A damselfly found along streams or riparian areas around Lubbock; males display a red patch on the wings, and both sexes feed on small flying insects near the water.                                                                                             | https://upload.wikimedia.org/wikipedia/commons/9/96/Hetaerina_americana.jpg                                                    | 0x00       |
| 200 | Ligated Furrow Bee              | A small native bee (sweat bee) commonly seen in Lubbock gardens; it nests in the ground and pollinates a variety of flowers, often appearing in late spring and summer months.                                                                                    | https://upload.wikimedia.org/wikipedia/commons/a/a6/Halictus_ligatus_f.jpg                                                     | 0x00       |
| 202 | Paper Wasp                      | A paper wasp (e.g., Polistes species) frequently found nesting under eaves in Lubbock; these wasps are predators of caterpillars and other pests, but can deliver a painful sting if disturbed.                                                                   | https://upload.wikimedia.org/wikipedia/commons/0/09/Red_paper_wasp_(Vespidae,_Polistes_carolina)_(28175395711).jpg             | 0x00       |
| 204 | Red Imported Fire Ant           | An invasive ant species present in Lubbock lawns and fields; builds large soil mounds and aggressively defends them with painful stings, making it a significant pest to people, wildlife, and ground-nesting animals.                                            | https://upload.wikimedia.org/wikipedia/commons/5/56/Solenopsis_invicta1.jpg                                                    | 0x00       |
| 206 | Red Harvester Ant               | A native ant that collects seeds in arid areas around Lubbock; known for clearing circular nest areas and a very painful sting, it plays an ecological role as prey for horned lizards and in seed dispersal.                                                     | https://upload.wikimedia.org/wikipedia/commons/8/89/Pogonomyrmex_barbatus.jpg                                                  | 0x00       |
| 208 | Differential Grasshopper        | A large grasshopper commonly found in Lubbock?s yards and crop fields; it feeds on various plants and can be an agricultural pest during outbreaks, consuming leaves of crops and weeds alike.                                                                    | https://upload.wikimedia.org/wikipedia/commons/3/35/Differential_Grasshopper_-_Melanoplus_differentialis.jpg                   | 0x00       |
| 210 | Field Cricket                   | A black cricket often heard chirping on warm nights in Lubbock; these crickets breed in yards and fields, sometimes gathering around lights and becoming a nuisance in large numbers during late summer.                                                          | https://upload.wikimedia.org/wikipedia/commons/2/24/Field_cricket.jpg                                                          | 0x00       |
| 212 | June Bug                        | A common name for brown May/June beetles (Phyllophaga spp.) that emerge in Lubbock during summer; adults are attracted to lights at night, and their larvae (white grubs) live in soil feeding on grass and plant roots.                                          | https://upload.wikimedia.org/wikipedia/commons/1/16/Phyllophaga_beetle.jpg                                                     | 0x00       |
| 214 | American Cockroach              | A large brown cockroach that thrives in Lubbock homes, sewers, and warm damp areas; an introduced pest, it scavenges on food waste and organic matter, often invading houses especially during heat or drought.                                                   | https://upload.wikimedia.org/wikipedia/commons/6/64/American_cockroach.jpg                                                     | 0x00       |
| 216 | Common House Mosquito           | A mosquito (Culex species) prevalent in Lubbock, breeding in standing water; it bites humans and birds, and is a known vector for diseases like West Nile virus in the region.                                                                                    | https://upload.wikimedia.org/wikipedia/commons/d/d6/House_Mosquito_Culex.jpg                                                   | 0x00       |
| 220 | Velvet Ant (Cow Killer)         | A wingless wasp often called an ant, with a furry red-orange body; found in Lubbock?s dry areas. It is solitary and not aggressive, but the female?s sting is extremely painful, earning it the nickname "cow killer."                                            | https://upload.wikimedia.org/wikipedia/commons/9/99/Velvet_Ant.jpg                                                             | 0x00       |
| 222 | Annual Cicada                   | Large cicadas that emerge in Lubbock during summer; they produce loud buzzing calls from trees on hot days. Nymphs develop underground on roots, and adults serve as a food source for local wildlife despite their short lifespan.                               | https://upload.wikimedia.org/wikipedia/commons/3/30/Neotibicen_cicada.jpg                                                      | 0x00       |
| 224 | Black Swallowtail               | A striking black butterfly common to the Lubbock area; its caterpillars (parsleyworms) feed on carrots, dill, and parsley, while adults frequent flowers for nectar, contributing to pollination in gardens and fields.                                           | https://upload.wikimedia.org/wikipedia/commons/1/18/Black_Swallowtail_Papilio_polyxenes.jpg                                    | 0x00       |
| 228 | Desert Cottontail               | A small wild rabbit often seen in brushy areas and yards in Lubbock. It has a brown-gray coat and a fluffy white cotton-like tail.                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/7/77/Sylvilagus_audubonii_on_rocks.jpg                                          | 0x00       |
| 243 | Escarpment Live Oak             | An evergreen oak native to Texas, known for its sturdy branches and resilience to drought. Provides excellent shade and supports local wildlife.                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/3/3e/Quercus_fusiformis.jpg                                                     | 0x00       |
| 244 | Great-tailed Grackle            | A large, iridescent blackbird common in urban areas of Lubbock. Known for its loud calls and adaptability to human-altered environments.                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/4/4c/Quiscalus_mexicanus.jpg                                                    | 0x01       |
| 245 | Honey Locust                    | A deciduous tree with delicate, fern-like leaves and twisted seed pods. Often used in landscaping for its light shade and ornamental value.                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/5/5e/Gleditsia_triacanthos.jpg                                                  | 0x00       |
| 246 | Rock Pigeon                     | A ubiquitous bird in urban settings, recognized by its gray body and iridescent neck feathers. Often found in city parks and buildings.                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/5/5b/Columba_livia.jpg                                                          | 0x01       |
| 247 | Sandpaper Oak                   | A small tree or large shrub with rough-textured leaves, giving it its name. Thrives in dry, rocky soils and provides habitat for various species.                                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/9/9d/Quercus_pungens.jpg                                                        | 0x00       |
| 248 | Common Grackle                  | A medium-sized blackbird with a glossy sheen, known for its varied diet and social behavior. Often seen in large flocks in open areas.                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/6/6a/Quiscalus_quiscula.jpg                                                     | 0x01       |
| 249 | Mexican Blue Oak                | An evergreen oak with bluish-green leaves, native to the southwestern U.S. and northern Mexico. Tolerant of drought and poor soils.                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/2/2a/Quercus_oblongifolia.jpg                                                   | 0x00       |
| 250 | Eurasian Collared-Dove          | A pale gray dove with a distinctive black collar around its neck. Common in suburban and urban areas, often seen perched on wires.                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/9/9f/Streptopelia_decaocto.jpg                                                  | 0x01       |
| 251 | Gray Oak                        | A medium-sized tree with grayish bark and leaves, adapted to arid environments. Provides food and shelter for wildlife.                                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/4/4c/Quercus_grisea.jpg                                                         | 0x00       |
| 252 | White-winged Dove               | A large dove with a distinctive white edge on its wings, commonly found in urban areas and known for its cooing calls.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/3/3f/Zenaida_asiatica.jpg                                                       | 0x01       |
| 253 | Texas Red Oak                   | A deciduous tree known for its brilliant red fall foliage. Commonly found in the southern Great Plains, including Texas.                                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/4/4e/Quercus_buckleyi.jpg                                                       | 0x00       |
| 254 | Northern Flicker                | A medium-sized woodpecker with a distinctive barred back and spotted belly. Often seen foraging on the ground for ants.                                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/3/3f/Northern_Flicker.jpg                                                       | 0x00       |
| 255 | Texas Madrone                   | An evergreen tree with smooth, reddish bark and white flowers. Native to rocky slopes and canyons in Texas.                                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/2/2c/Arbutus_xalapensis.jpg                                                     | 0x00       |
| 256 | Texas Map Turtle                | A small freshwater turtle endemic to Texas, recognized by its olive-green shell with yellow reticulations and a prominent keel. Inhabits rivers and streams within the Colorado River drainage.                                                                   | https://upload.wikimedia.org/wikipedia/commons/5/5b/Texas_Map_Turtle.jpg                                                       | 0x00       |
| 257 | Prairie Sumac                   | A shrub or small tree with pinnately compound leaves and red fruit clusters. Provides food for birds and mammals.                                                                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/7/7e/Rhus_lanceolata.jpg                                                        | 0x00       |
| 258 | American Goldfinch              | A small finch with bright yellow plumage during breeding season. Often seen feeding on seeds of native plants.                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/0/0e/American_Goldfinch.jpg                                                     | 0x00       |
| 262 | Mourning Dove                   | A slender, grayish-brown dove with a soft, mournful cooing call. Commonly seen perched on wires or foraging on the ground.                                                                                                                                        | https://upload.wikimedia.org/wikipedia/commons/4/4e/Zenaida_macroura.jpg                                                       | 0x00       |
| 264 | Largemouth Bass                 | A popular freshwater game fish known for its large mouth and aggressive behavior. Commonly found in lakes and reservoirs around Lubbock.                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/2/2e/Micropterus_salmoides2.jpg                                                 | 0x00       |
| 266 | Channel Catfish                 | A widely distributed North American catfish with a deeply forked tail and spotted body. Prefers clean, slow-moving waters.                                                                                                                                        | https://upload.wikimedia.org/wikipedia/commons/7/7e/Ictalurus_punctatus.jpg                                                    | 0x00       |
| 268 | White Crappie                   | A freshwater fish with a silvery body and vertical bars. Inhabits lakes and rivers, often near submerged structures.                                                                                                                                              | https://upload.wikimedia.org/wikipedia/commons/3/3d/Pomoxis_annularis1.jpg                                                     | 0x00       |
| 270 | Flathead Catfish                | A large predatory catfish with a broad, flat head and smooth skin. Found in deep pools of rivers and reservoirs.                                                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/5/5b/Pylodictis_olivaris.jpg                                                    | 0x00       |
| 272 | Sunfish                         | A group of small to medium-sized freshwater fish, including species like Bluegill and Green Sunfish. Common in ponds and lakes.                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/9/9d/Lepomis_macrochirus1.jpg                                                   | 0x00       |
| 274 | Plains Minnow                   | A small, silvery fish native to the Great Plains. Inhabits shallow, slow-moving streams and is an important forage species.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/2/2d/Hybognathus_placitus.jpg                                                   | 0x00       |
| 276 | Spotted Bass                    | A freshwater bass species with dark spots along its sides. Prefers clear, warm streams and reservoirs.                                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/5/5e/Micropterus_punctulatus.jpg                                                | 0x00       |
| 280 | Texas Logperch                  | A small, elongated fish with vertical bars along its body. Found in clear, swift streams with rocky substrates.                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/6/6a/Percina_carbonaria.jpg                                                     | 0x00       |
| 282 | Chihuahua Shiner                | A small, stout-bodied fish with a silvery appearance. Native to streams in southern Texas and northern Mexico.                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/8/8e/Notropis_chihuahua.jpg                                                     | 0x00       |
| 284 | Concho Water Snake              | A non-venomous snake native to central Texas, characterized by its reddish-brown bands. Prefers free-flowing streams with rocky substrates and feeds on small fish.                                                                                               | https://upload.wikimedia.org/wikipedia/commons/3/3d/Nerodia_paucimaculata.jpg                                                  | 0x00       |
| 285 | Duckweed                        | A small, free-floating aquatic plant forming dense mats on still or slow-moving waters. Provides food for waterfowl and helps reduce algae by shading the water surface.                                                                                          | https://upload.wikimedia.org/wikipedia/commons/3/3e/Duckweed_closeup.jpg                                                       | 0x00       |
| 286 | Plain-bellied Water Snake       | A non-venomous snake found near bodies of water, noted for its plain-colored underside. Feeds on amphibians and fish, often seen basking on branches overhanging water.                                                                                           | https://upload.wikimedia.org/wikipedia/commons/2/2f/Nerodia_erythrogaster.jpg                                                  | 0x00       |
| 287 | Cattail                         | A tall, reed-like plant commonly found in wetlands, recognized by its brown, sausage-shaped flower spikes. Provides habitat and food for various wildlife species.                                                                                                | https://upload.wikimedia.org/wikipedia/commons/4/4c/Typha_latifolia.jpg                                                        | 0x00       |
| 288 | Spotted Gar                     | A long, slender fish with a distinctive snout and dark spots along its body. Inhabits slow-moving rivers and lakes, preying on smaller fish.                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/0/0b/Lepisosteus_oculatus.jpg                                                   | 0x00       |
| 289 | Water Lily                      | An aquatic plant with broad, floating leaves and fragrant flowers in various colors. Grows in still, shallow waters and provides shelter for fish and amphibians.                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/6/6e/Nymphaea_alba_flower.jpg                                                   | 0x00       |
| 290 | Texas River Cooter              | A freshwater turtle endemic to Texas, featuring a green shell with yellow and black markings. Prefers rivers and streams with abundant vegetation.                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/8/8e/Pseudemys_texana.jpg                                                       | 0x00       |
| 291 | Arrowhead (Duck Potato)         | A perennial aquatic plant with arrow-shaped leaves and white flowers. Grows in shallow water and produces edible tubers consumed by wildlife.                                                                                                                     | https://upload.wikimedia.org/wikipedia/commons/7/7e/Sagittaria_latifolia.jpg                                                   | 0x00       |
| 292 | Western Cottonmouth             | A venomous semi-aquatic snake known for its thick body and white mouth lining. Inhabits swamps, marshes, and slow-moving streams.                                                                                                                                 | https://upload.wikimedia.org/wikipedia/commons/5/5e/Agkistrodon_piscivorus.jpg                                                 | 0x00       |
| 294 | Snow Goose                      | A medium-sized goose with white plumage and black wingtips, known for its high-pitched honking calls. Commonly seen in large flocks during migration.                                                                                                             | https://upload.wikimedia.org/wikipedia/commons/5/5f/Snow_Goose.jpg                                                             | 0x01       |
| 296 | Blue-winged Teal                | A small dabbling duck with a distinctive blue patch on its wings and a white crescent on the males face. Prefers shallow wetlands and marshes.                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/3/3e/Blue-winged_Teal.jpg                                                       | 0x01       |
| 300 | Northern Cardinal               | A vibrant red songbird with a distinctive crest and black mask. Males are bright red, while females are a warm brown with red accents.                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/4/4e/Northern_Cardinal.jpg                                                      | 0x01       |
| 302 | Rufous-crowned Sparrow          | A small sparrow with a rufous crown and gray face, known for its melodic song. Inhabits rocky slopes and scrubby areas.                                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/3/3f/Rufous-crowned_Sparrow.jpg                                                 | 0x01       |
| 304 | American Robin                  | A familiar songbird with a red-orange breast and gray upperparts. Known for its melodious song and early arrival in spring.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/5/56/American_Robin.jpg                                                         | 0x01       |
| 306 | Peregrine Falcon                | A powerful raptor known for its incredible speed during dives. Recognized by its blue-gray back and barred underparts.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/1/1e/Peregrine_Falcon.jpg                                                       | 0x01       |
| 308 | Bald Eagle                      | A large bird of prey with a white head and tail, symbolizing the United States. Found near large bodies of open water.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/3/3d/Bald_Eagle.jpg                                                             | 0x01       |
| 312 | Canada Goose                    | A large goose with a black head and neck, white cheeks, and brown body. Often seen in parks and near water bodies.                                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/5/5c/Canada_Goose.jpg                                                           | 0x01       |
| 314 | Wilson's Phalarope              | A slender shorebird with a long, thin bill and distinctive breeding plumage. Often seen spinning in shallow waters to stir up prey.                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/3/3b/Phalaropus_tricolor.jpg                                                    | 0x01       |
| 316 | Common Poorwill                 | A nocturnal bird with mottled gray and brown plumage, known for its soft, repetitive calls during the night.                                                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/2/2a/Phalaenoptilus_nuttallii.jpg                                               | 0x01       |
| 318 | Vermilion Flycatcher            | A striking bird with bright red plumage in males and a more subdued coloration in females. Often seen perched conspicuously while hunting insects.                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/5/5a/Pyrocephalus_rubinus.jpg                                                   | 0x01       |
| 320 | Scaled Quail                    | A ground-dwelling bird with a distinctive scaly appearance on its breast and a short crest. Prefers arid habitats with sparse vegetation.                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/4/4e/Callipepla_squamata.jpg                                                    | 0x01       |
| 322 | Forster's Tern                  | A medium-sized tern with a black cap and a slender, pointed bill. Commonly found near inland water bodies during migration.                                                                                                                                       | https://upload.wikimedia.org/wikipedia/commons/3/3f/Sterna_forsteri.jpg                                                        | 0x01       |
| 324 | Long-billed Curlew              | The largest North American shorebird, recognized by its extremely long, down-curved bill and mottled brown plumage.                                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/6/6e/Numenius_americanus.jpg                                                    | 0x01       |
| 328 | Loggerhead Shrike               | A songbird with a hooked bill, known for impaling its prey on thorns or barbed wire. Exhibits a gray body with a black mask.                                                                                                                                      | https://upload.wikimedia.org/wikipedia/commons/7/7e/Lanius_ludovicianus.jpg                                                    | 0x01       |
| 330 | Lark Sparrow                    | A large sparrow with a distinctive facial pattern and a melodious song. Frequents open habitats with scattered shrubs.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/2/2f/Chondestes_grammacus.jpg                                                   | 0x01       |
| 332 | Field Sparrow                   | A small, slender sparrow with a pink bill and a clear, whistled song. Prefers brushy fields and open woodlands.                                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/1/1e/Spizella_pusilla.jpg                                                       | 0x01       |
| 334 | Inca Dove                       | A small dove with a scaly appearance and a long, square-tipped tail. Often found in urban areas and open woodlands.                                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/2/2e/Inca_Dove.jpg                                                              | 0x01       |
| 336 | American Avocet                 | A striking shorebird with a long, upturned bill and distinctive black-and-white patterning. Commonly seen in shallow wetlands.                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/5/5f/American_Avocet.jpg                                                        | 0x01       |
| 338 | Swainson's Hawk                 | A medium-sized raptor known for its long wings and migratory behavior. Prefers open habitats like grasslands and prairies.                                                                                                                                        | https://upload.wikimedia.org/wikipedia/commons/3/3d/Swainsons_Hawk.jpg                                                         | 0x01       |
| 340 | White-faced Ibis                | A wading bird with iridescent dark plumage and a distinctive white border around its face. Inhabits marshes and wetlands.                                                                                                                                         | https://upload.wikimedia.org/wikipedia/commons/4/4e/White-faced_Ibis.jpg                                                       | 0x01       |
| 342 | Black-necked Stilt              | A slender shorebird with long, pink legs and a contrasting black-and-white body. Often seen in shallow waters.                                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/6/6b/Black-necked_Stilt.jpg                                                     | 0x01       |
| 344 | Hermit Thrush                   | A small songbird with a brown back and a spotted breast, known for its melodious song. Prefers forested areas during migration.                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/9/9b/Hermit_Thrush.jpg                                                          | 0x01       |
| 346 | Rock Wren                       | A small, active bird with a grayish-brown coloration and a distinctive bouncing behavior. Found in rocky terrains.                                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/1/1e/Rock_Wren.jpg                                                              | 0x01       |
| 348 | Pine Siskin                     | A small finch with streaked brown plumage and subtle yellow accents on the wings. Often found in flocks during winter.                                                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/0/0e/Pine_Siskin.jpg                                                            | 0x01       |
| 350 | Rufous Hummingbird              | A tiny hummingbird with a brilliant orange-red coloration, especially in males. Known for its long migratory journey.                                                                                                                                             | https://upload.wikimedia.org/wikipedia/commons/3/3e/Rufous_Hummingbird.jpg                                                     | 0x01       |
| 352 | Olive-sided Flycatcher          | A medium-sized flycatcher with a distinctive vest-like marking on its sides. Prefers open woodlands and forest edges.                                                                                                                                             | https://upload.wikimedia.org/wikipedia/commons/4/4f/Olive-sided_Flycatcher.jpg                                                 | 0x01       |
+-----+---------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------+------------+

To create the tables:
CREATE TABLE animalsandplants (
ID INT NOT NULL, 
SpeciesName TINYTEXT NOT NULL,
Description LONGTEXT,
Photo MEDIUMTEXT,
Bird bit(1) DEFAULT 0,
PRIMARY KEY (ID)
);

Table 1
CREATE TABLE usersubmission (
SubmissionID INT NOT NULL AUTO_INCREMENT, 
Location JSON NOT NULL, 
photo LONGBLOB, 
PlantOrAnimal BIT(1) NOT NULL, 
ID INT NOT NULL, 
Date CHAR(10) NOT NULL,
PRIMARY KEY (SubmissionID),
FOREIGN KEY (ID) REFERENCES animalsandplants(ID)
);
